Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
27.57319831,0.21667497,-0.222168138,-0.61248826,,27.58
27.63493981,0.208740394,-0.21667497,-0.606995092,,27.64
27.69894335,0.214233562,-0.21667497,-0.606995092,,27.7
27.76258993,0.21667497,-0.208740394,-0.606995092,,27.77
27.82291608,0.222168138,-0.219421554,-0.609741676,,27.83
27.88505751,0.219421554,-0.219421554,-0.617981429,,27.89
27.94902546,0.222168138,-0.211486978,-0.609741676,,27.95
28.00899849,0.208740394,-0.222168138,-0.604248508,,28.01
28.07489333,0.21667497,-0.208740394,-0.609741676,,28.08
28.13488625,0.21667497,-0.211486978,-0.61248826,,28.14
28.19616879,0.235901059,-0.211486978,-0.606995092,,28.2
28.25992698,0.224914722,-0.222168138,-0.615234844,,28.26
28.32101997,0.224914722,-0.214233562,-0.601501924,,28.33
28.38691417,0.211486978,-0.21667497,-0.582581011,,28.39
28.44592985,0.214233562,-0.219421554,-0.606995092,,28.45
28.5079616,0.21667497,-0.211486978,-0.601501924,,28.51
28.57104018,0.233154475,-0.211486978,-0.606995092,,28.58
28.63524193,0.203247225,-0.211486978,-0.615234844,,28.64
28.69796707,0.21667497,-0.21667497,-0.606995092,,28.7
28.75799174,0.208740394,-0.230407891,-0.61248826,,28.76
28.82019732,0.222168138,-0.222168138,-0.601501924,,28.83
28.88302189,0.21667497,-0.222168138,-0.609741676,,28.89
28.94520053,0.224914722,-0.222168138,-0.604248508,,28.95
29.00796641,0.214233562,-0.21667497,-0.609741676,,29.01
29.07192761,0.230407891,-0.211486978,-0.599060516,,29.08
29.13195645,0.230407891,-0.211486978,-0.617981429,,29.14
29.19580765,0.211486978,-0.211486978,-0.601501924,,29.2
29.25732593,0.222168138,-0.219421554,-0.604248508,,29.26
29.3201598,0.203247225,-0.21667497,-0.61248826,,29.33
29.38404339,0.233154475,-0.214233562,-0.599060516,,29.39
29.44396286,0.219421554,-0.211486978,-0.590820763,,29.45
29.50714664,0.211486978,-0.211486978,-0.606995092,,29.51
29.5700979,0.208740394,-0.203247225,-0.601501924,,29.58
29.63407386,0.227661307,-0.230407891,-0.599060516,,29.64
29.69398018,0.21667497,-0.203247225,-0.61248826,,29.7
29.75725889,0.230407891,-0.208740394,-0.606995092,,29.76
29.82098982,0.222168138,-0.219421554,-0.609741676,,29.83
29.88096703,0.224914722,-0.222168138,-0.601501924,,29.89
29.94499366,0.219421554,-0.211486978,-0.590820763,,29.95
30.00713381,0.222168138,-0.211486978,-0.606995092,,30.01
30.07012067,0.214233562,-0.21667497,-0.601501924,,30.08
30.13201932,0.219421554,-0.222168138,-0.609741676,,30.14
30.19307382,0.21667497,-0.214233562,-0.61248826,,30.2
30.25609596,0.208740394,-0.211486978,-0.61248826,,30.26
30.31822007,0.222168138,-0.214233562,-0.593567347,,30.32
30.3801447,0.222168138,-0.214233562,-0.601501924,,30.39
30.44499623,0.214233562,-0.214233562,-0.617981429,,30.45
30.50524733,0.211486978,-0.222168138,-0.606995092,,30.51
30.57008282,0.20599381,-0.208740394,-0.604248508,,30.58
30.63006837,0.21667497,-0.222168138,-0.609741676,,30.64
30.69200486,0.222168138,-0.214233562,-0.596313932,,30.7
30.75717102,0.222168138,-0.214233562,-0.606995092,,30.76
30.81705329,0.214233562,-0.211486978,-0.590820763,,30.82
30.88012257,0.203247225,-0.224914722,-0.606995092,,30.89
30.94204238,0.214233562,-0.211486978,-0.61248826,,30.95
31.00404462,0.224914722,-0.21667497,-0.601501924,,31.01
31.06713956,0.21667497,-0.230407891,-0.609741676,,31.07
31.12905873,0.219421554,-0.211486978,-0.625916005,,31.13
31.19186598,0.222168138,-0.222168138,-0.599060516,,31.2
31.25408022,0.219421554,-0.222168138,-0.609741676,,31.26
31.31614853,0.222168138,-0.219421554,-0.61248826,,31.32
31.37906034,0.233154475,-0.20599381,-0.620728013,,31.38
31.44208343,0.214233562,-0.214233562,-0.61248826,,31.45
31.50623964,0.214233562,-0.214233562,-0.61248826,,31.51
31.56616328,0.21667497,-0.214233562,-0.601501924,,31.57
31.62898561,0.227661307,-0.214233562,-0.604248508,,31.63
31.69148465,0.222168138,-0.21667497,-0.609741676,,31.7
31.75424379,0.219421554,-0.222168138,-0.604248508,,31.76
31.81524153,0.227661307,-0.21667497,-0.599060516,,31.82
31.87803082,0.211486978,-0.21667497,-0.609741676,,31.88
